Stretch,Stress_P11
1,0
1.05,0.049829619
1.1,0.094954573
1.15,0.136172804
1.2,0.174115709
1.25,0.209288123
1.3,0.242097551
1.35,0.272875836
1.4,0.301895414
1.45,0.329381646
1.5,0.355522287
1.45,0.327798098
1.4,0.299106336
1.35,0.269254153
1.3,0.238009568
1.25,0.205091392
1.2,0.170155965
1.15,0.132779503
1.1,0.092434308
1.05,0.048456292
1,0
1.066666667,0.063567135
1.133333333,0.119690583
1.2,0.170155965
1.266666667,0.216269828
1.333333333,0.259006764
1.4,0.299106336
1.466666667,0.337138448
1.533333333,0.372280662
1.6,0.404372157
1.666666667,0.434786581
1.733333333,0.463747405
1.8,0.491437626
1.866666667,0.51800862
1.933333333,0.54358689
2,0.568279251
1.933333333,0.537996779
1.866666667,0.507598475
1.8,0.476981392
1.733333333,0.446022721
1.666666667,0.414575046
1.6,0.382460106
1.533333333,0.349460477
1.466666667,0.315308398
1.4,0.279670516
1.333333333,0.242126826
1.266666667,0.202141116
1.2,0.159018817
1.133333333,0.111845748
1.066666667,0.059397226
1,0
1.075,0.066293677
1.15,0.124079356
1.225,0.175609611
1.3,0.222478319
1.375,0.265840866
1.45,0.306552955
1.525,0.345260625
1.6,0.382460106
1.675,0.418538503
1.75,0.453802001
1.825,0.48849575
1.9,0.522818122
1.975,0.556931075
2.05,0.586272473
2.125,0.6124974
2.2,0.637892407
2.275,0.662544562
2.35,0.686530663
2.425,0.709919553
2.5,0.732773981
2.425,0.699432948
2.35,0.666586497
2.275,0.634180828
2.2,0.602153962
2.125,0.570434377
2.05,0.538939275
1.975,0.507572349
1.9,0.476220874
1.825,0.444751864
1.75,0.413006961
1.675,0.380795539
1.6,0.347885334
1.525,0.313989514
1.45,0.278748626
1.375,0.241704982
1.3,0.202265697
1.225,0.159648298
1.15,0.112798894
1.075,0.06026596
1,0
1.08,0.063982026
1.16,0.119337161
1.24,0.168471855
1.32,0.21305722
1.4,0.25428648
1.48,0.293033115
1.56,0.329951128
1.64,0.365540403
1.72,0.400190329
1.8,0.434209557
1.88,0.467846666
1.96,0.501304754
2.04,0.534751891
2.12,0.568328707
2.2,0.602153962
2.28,0.636328688
2.36,0.670939304
2.44,0.706059997
2.52,0.738785738
2.6,0.762515141
2.68,0.785784943
2.76,0.808657852
2.84,0.831194879
2.92,0.853456217
3,0.875501964
2.92,0.837651397
2.84,0.800835713
2.76,0.765005795
2.68,0.730108696
2.6,0.696087227
2.52,0.662879475
2.44,0.630418236
2.36,0.598630314
2.28,0.567435622
2.2,0.536746017
2.12,0.506463766
2.04,0.476479516
1.96,0.446669571
1.88,0.416892236
1.8,0.386982865
1.72,0.356747092
1.64,0.325951495
1.56,0.294310568
1.48,0.26146828
1.4,0.226971551
1.32,0.190231411
1.24,0.150464876
1.16,0.106605852
1.08,0.05716474
1,0
1.083333333,0.059361304
1.166666667,0.110449907
1.25,0.15563427
1.333333333,0.196540863
1.416666667,0.23432138
1.5,0.269814288
1.583333333,0.303645863
1.666666667,0.336295274
1.75,0.368137592
1.833333333,0.399472845
1.916666667,0.430546033
2,0.461561139
2.083333333,0.492691088
2.166666667,0.524084893
2.25,0.555872852
2.333333333,0.588170343
2.416666667,0.621080628
2.5,0.65469693
2.583333333,0.689103991
2.666666667,0.724379255
2.75,0.760593774
2.833333333,0.79781294
2.916666667,0.836097077
3,0.875501964
3.083333333,0.898302399
