Stretch,Stress_P11
1,0
1.071428571,0.069694058
1.142857143,0.130498213
1.214285714,0.184428239
1.285714286,0.232943965
1.357142857,0.27712345
1.428571429,0.317776779
1.5,0.355522287
1.428571429,0.315630556
1.357142857,0.273598109
1.285714286,0.228788876
1.214285714,0.180366352
1.142857143,0.127211499
1.071428571,0.067798281
1,0
1.1,0.092434308
1.2,0.170155965
1.3,0.238009568
1.4,0.299106336
1.5,0.355522287
1.6,0.404372157
1.7,0.449436423
1.8,0.491437626
1.9,0.53091476
2,0.568279251
1.9,0.522818122
1.8,0.476981392
1.7,0.430370342
1.6,0.382460106
1.5,0.332547578
1.4,0.279670516
1.3,0.222478319
1.2,0.159018817
1.1,0.086372935
1,0
1.107142857,0.091950947
1.214285714,0.168565174
1.321428571,0.235183269
1.428571429,0.295150484
1.535714286,0.350657118
1.642857143,0.403192382
1.75,0.453802001
1.857142857,0.50324063
1.964285714,0.552065297
2.071428571,0.59385556
2.178571429,0.630716085
2.285714286,0.666010245
2.392857143,0.699964725
2.5,0.732773981
2.392857143,0.6852983
2.285714286,0.638785476
2.178571429,0.593063261
2.071428571,0.547920305
1.964285714,0.503095483
1.857142857,0.458262479
1.75,0.413006961
1.642857143,0.366792034
1.535714286,0.318904817
1.428571429,0.268371692
1.321428571,0.21381989
1.214285714,0.15324345
1.107142857,0.083590696
1,0
1.117647059,0.090938012
1.235294118,0.165721188
1.352941176,0.230384708
1.470588235,0.288580638
1.588235294,0.342641724
1.705882353,0.394129382
1.823529412,0.444132633
1.941176471,0.493438978
2.058823529,0.542635929
2.176470588,0.592173301
2.294117647,0.642402509
2.411764706,0.693602013
2.529411765,0.741603387
2.647058824,0.776254852
2.764705882,0.809992266
2.882352941,0.843010824
3,0.875501964
2.882352941,0.820200371
2.764705882,0.767087078
2.647058824,0.715997227
2.529411765,0.666746172
2.411764706,0.619126053
2.294117647,0.572901239
2.176470588,0.527801841
2.058823529,0.483514107
1.941176471,0.439665887
1.823529412,0.395804266
1.705882353,0.351360625
1.588235294,0.30559505
1.470588235,0.257505683
1.352941176,0.205676348
1.235294118,0.148010424
1.117647059,0.081243716
1,0
1.119047619,0.082110104
1.238095238,0.149473113
1.357142857,0.207612789
1.476190476,0.259867159
1.595238095,0.308372726
1.714285714,0.354569019
1.833333333,0.399472845
1.952380952,0.443834629
2.071428571,0.48823105
2.19047619,0.533121649
2.30952381,0.578884271
2.428571429,0.625837669
2.547619048,0.674256158
2.666666667,0.724379255
2.785714286,0.7764182
2.904761905,0.830560552
3.023809524,0.882030511
3.142857143,0.914524035
3.261904762,0.946920875
3.380952381,0.979435665
3.5,1.012294281
3.380952381,0.949045602
3.261904762,0.889289323
3.142857143,0.83279475
3.023809524,0.779325168
2.904761905,0.728637465
2.785714286,0.680481588
2.666666667,0.634599692
2.547619048,0.590724752
2.428571429,0.548578319
2.30952381,0.50786694
2.19047619,0.468276545
2.071428571,0.429463749
1.952380952,0.391042482
1.833333333,0.35256335
1.714285714,0.313481492
1.595238095,0.273105634
1.476190476,0.230515313
1.357142857,0.184422024
1.238095238,0.132926853
1.119047619,0.073076441
1,0
1.125,0.07633167
1.25,0.138392405
1.375,0.191624875
1.5,0.239265544
1.625,0.283366289
1.75,0.325306936
1.875,0.366069235
2,0.406391041
2.125,0.446856773
2.25,0.487952265
2.375,0.530098837
2.5,0.573674806
2.625,0.619029155
2.75,0.666490208
2.875,0.716371068
3,0.768972974
3.125,0.824587336
3.25,0.883496947
3.375,0.945976738
3.5,1.012294281
3.625,1.04742779
3.75,1.083499031
3.875,1.120823083
4,1.159736992
3.875,1.080057779
3.75,1.006307244
3.625,0.938037734
3.5,0.874804414
3.375,0.816168973
3.25,0.76170221
3.125,0.710985659
3,0.663612424
2.875,0.619187267
2.75,0.577325941
2.625,0.537653658
2.5,0.499802435
2.375,0.463406954
2.25,0.42809831
2.125,0.39349468
2,0.359187422
1.875,0.324720108
1.75,0.28955633
