Stretch,Stress_P11
1,0
1.055555556,0.055059555
1.111111111,0.104427281
1.166666667,0.149157149
1.222222222,0.190063731
1.277777778,0.227784531
1.333333333,0.262824201
1.388888889,0.295586418
1.444444444,0.326397218
1.5,0.355522287
1.444444444,0.324661137
1.388888889,0.292580294
1.333333333,0.259006764
1.277777778,0.223604693
1.222222222,0.185956894
1.166666667,0.145539673
1.111111111,0.101687997
1.055555556,0.053546582
1,0
1.076923077,0.072634518
1.153846154,0.135752549
1.230769231,0.191914579
1.307692308,0.242917673
1.384615385,0.290054565
1.461538462,0.334275531
1.538461538,0.374814684
1.615384615,0.41153084
1.692307692,0.446086599
1.769230769,0.478805116
1.846153846,0.509944108
1.923076923,0.53971191
2,0.568279251
1.923076923,0.53333003
1.846153846,0.498206409
1.769230769,0.462743508
1.692307692,0.42673877
1.615384615,0.389941132
1.538461538,0.352036056
1.461538462,0.312624532
1.384615385,0.271193143
1.307692308,0.227070609
1.230769231,0.179363414
1.153846154,0.126858246
1.076923077,0.06787026
1,0
1.083333333,0.073086095
1.166666667,0.136006563
1.25,0.191685981
1.333333333,0.242126826
1.416666667,0.288740527
1.5,0.332547578
1.583333333,0.374302636
1.666666667,0.414575046
1.75,0.453802001
1.833333333,0.492324441
1.916666667,0.530411781
2,0.568279251
2.083333333,0.59803653
2.166666667,0.626702356
2.25,0.654404792
2.333333333,0.681254346
2.416666667,0.707348284
2.5,0.732773981
2.416666667,0.695759838
2.333333333,0.659349191
2.25,0.623466438
2.166666667,0.588023071
2.083333333,0.552915206
2,0.518020332
1.916666667,0.483192987
1.833333333,0.448258899
1.75,0.413006961
1.666666667,0.377178077
1.583333333,0.340449476
1.5,0.302412287
1.416666667,0.262538951
1.333333333,0.22013493
1.25,0.174265547
1.166666667,0.123642282
1.083333333,0.066440841
1,0
1.090909091,0.071975044
1.181818182,0.13327338
1.272727273,0.187184726
1.363636364,0.235900142
1.454545455,0.280930578
1.545454545,0.323350561
1.636363636,0.363945696
1.727272727,0.403304933
1.818181818,0.441879974
1.909090909,0.480024451
2,0.518020332
2.090909091,0.556096038
2.181818182,0.594439094
2.272727273,0.633205087
2.363636364,0.672524116
2.454545455,0.712505515
2.545454545,0.746389768
2.636363636,0.773145479
2.727272727,0.799344787
2.818181818,0.825078283
2.909090909,0.850434618
3,0.875501964
2.909090909,0.832571196
2.818181818,0.79096831
2.727272727,0.750620107
2.636363636,0.71144682
2.545454545,0.673361287
2.454545455,0.636267967
2.363636364,0.600061717
2.272727273,0.564626181
2.181818182,0.529831644
2.090909091,0.495532088
2,0.461561139
1.909090909,0.427726415
1.818181818,0.393801583
1.727272727,0.359515096
1.636363636,0.324534008
1.545454545,0.288440399
1.454545455,0.250696412
1.363636364,0.210591323
1.272727273,0.167159402
1.181818182,0.119048801
1.090909091,0.064305123
1,0
1.092592593,0.065394783
1.185185185,0.120934553
1.277777778,0.16968035
1.37037037,0.213662418
1.462962963,0.254277987
1.555555556,0.292521202
1.648148148,0.329121462
1.740740741,0.364629549
1.833333333,0.399472845
1.925925926,0.433991623
